Номер варианта;ID;INCOME_BASE_TYPE;CREDIT_PURPOSE;INSURANCE_FLAG;DTI;SEX;FULL_AGE_CHILD_NUMBER;DEPENDANT_NUMBER;EDUCATION;EMPL_TYPE;EMPL_SIZE;BANKACCOUNT_FLAG;Period_at_work;age;EMPL_PROPERTY;EMPL_FORM;FAMILY_STATUS;max90days;max60days;max30days;max21days;max14days;avg_num_delay;if_zalog;num_AccountActive180;num_AccountActive90;num_AccountActive60;Active_to_All_prc;numAccountActiveAll;numAccountClosed;sum_of_paym_months;all_credits;Active_not_cc;own_closed;min_MnthAfterLoan;max_MnthAfterLoan;dlq_exist;thirty_in_a_year;sixty_in_a_year;ninety_in_a_year;thirty_vintage;sixty_vintage;ninety_vintage
17;1000537;Свободная форма с печатью работодателя;Ремонт;0;0.18;мужской;0;0;высшее;специалист;< 50;0;120;38;Наука;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;1000557;Поступление зарплаты на счет;Ремонт;0;0.36;мужской;1;0;незаконченное высшее;менеджер среднего звена;>250;0;139;35;Туризм;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;1000577;Поступление зарплаты на счет;Ремонт;0;0.32;мужской;0;0;высшее;специалист;>250;0;31;25;Торговля;ЗАО;холост / не замужем;0;0;0;0;0;0;0;0;0;0;1;1;0;1;1;0;0;22;22;0;0;0;0;0;0;0
17;1000597;Поступление зарплаты на счет;Ремонт;1;0.56;женский;0;0;высшее;вспомогательный персонал;>250;1;22;25;Наука;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;1000617;Поступление зарплаты на счет;Ремонт;0;0.31;женский;0;0;высшее;специалист;>250;0;103;33;Торговля;ЗАО;женат / замужем;0;0;0;0;0;0;1;0;0;0;0.5;1;1;44;2;1;1;12;36;0;0;0;0;0;0;0
17;1000637;Форма банка (без печати работодателя);Ремонт;1;0.45;женский;0;0;Высшее/Второе высшее/Ученая степень;специалист;>250;0;18;25;Транспорт;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;1000657;Поступление зарплаты на счет;Ремонт;0;0.28;мужской;1;0;среднее-специальное;вспомогательный персонал;>250;0;45;25;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;1000677;Поступление зарплаты на счет;Ремонт;1;0.42;мужской;1;0;второе высшее;менеджер по продажам;>250;0;17;44;Транспорт;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;1000697;Поступление зарплаты на счет;Ремонт;1;0.37;мужской;1;0;высшее;рабочий;>250;1;32;26;Информационные технологии;ЗАО;женат / замужем;0;0;0;0;0;0;1;0;0;0;0.5;1;1;10;2;1;1;10;20;0;0;0;0;0;0;0
17;1000717;Поступление зарплаты на счет;Другое;1;0.43;женский;0;0;Высшее/Второе высшее/Ученая степень;специалист;>=50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;1000737;Форма банка (без печати работодателя);Ремонт;1;0.34;мужской;2;0;высшее;специалист;>250;0;15;39;Информационные технологии;ЗАО;повторный брак;2;1;0;0;0;0;0;0;0;0;0.4;2;3;139;5;0;1;18;94;0;0;0;0;0;0;0
17;1000757;Свободная форма с печатью работодателя;Покупка недвижимости/ строительство;1;0.27;женский;1;0;среднее;специалист;< 50;0;30;42;Торговля;ООО;женат / замужем;2;2;2;2;2;;;;;;;;;;;;;;;;;;;;;
17;1000777;Форма банка (без печати работодателя);Покупка автомобиля;1;0.38;женский;1;0;высшее;специалист;>250;0;159;34;Другое;ОАО;повторный брак;;;;;;;;;;;;;;;;;;;;;;;;;;
17;1000797;Поступление зарплаты на счет;Ремонт;1;0.22;мужской;0;0;высшее;специалист;>250;1;81;29;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;1000817;2НДФЛ;Ремонт;1;0.36;мужской;0;0;высшее;рабочий;>250;0;39;51;Другое;ЗАО;женат / замужем;2;2;2;2;2;0.0555555556;1;0;0;0;0;0;1;17;1;0;0;64;64;1;0;0;0;0;0;0
17;1000837;Форма банка (без печати работодателя);Покупка недвижимости/ строительство;0;0.42;мужской;2;0;высшее;специалист;>=50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;1000857;Форма банка (без печати работодателя);Ремонт;1;0.59;женский;0;0;Высшее/Второе высшее/Ученая степень;менеджер среднего звена;>250;0;80;48;Финансы;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;1000877;Поступление зарплаты на счет;Другое;0;0.57;женский;0;0;высшее;вспомогательный персонал;>250;1;81;39;Торговля;ООО;разведен / разведена;4;1;1;0;0;0;0;1;1;1;0.375;3;5;46;8;2;4;1;48;0;0;0;0;0;0;0
17;1000897;Поступление зарплаты на счет;Обучение;0;0.51;женский;0;0;высшее;рабочий;>250;1;34;32;Торговля;ООО;холост / не замужем;4;4;3;1;0;0.25;0;2;2;1;0.6666666667;4;2;27;6;2;1;0;16;1;1;0;0;0;0;0
17;1000917;Поступление зарплаты на счет;Покупка недвижимости/ строительство;1;0.45;мужской;0;0;высшее;специалист;>250;0;61;39;Транспорт;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;1000937;2НДФЛ;Покупка бытовой техники;1;0.4;мужской;1;0;среднее-специальное;вспомогательный персонал;>=50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;1000957;2НДФЛ;Покупка недвижимости/ строительство;0;;женский;0;0;высшее;;;3;6;25;Финансы;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;1000977;2НДФЛ;Ремонт;0;0.5;мужской;0;0;высшее;специалист;>250;1;28;26;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;1000997;Поступление зарплаты на счет;Покупка недвижимости/ строительство;1;0.57;мужской;2;0;среднее;рабочий;>=100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;1001017;Свободная форма с печатью работодателя;Покупка недвижимости/ строительство;1;0.49;женский;1;0;высшее;вспомогательный персонал;>250;0;173;41;Торговля;ООО;женат / замужем;0;0;0;0;0;0;0;0;0;0;0;0;3;22;3;0;0;73;75;0;0;0;0;0;0;0
17;1001037;Поступление зарплаты на счет;Ремонт;1;0.19;мужской;0;0;среднее-специальное;рабочий;>250;0;9;32;Торговля;ЗАО;женат / замужем;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;
17;1001057;Поступление зарплаты на счет;Ремонт;1;0.22;женский;1;0;высшее;менеджер среднего звена;>250;0;67;40;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;1001077;Форма банка (без печати работодателя);Обучение;1;0.51;женский;0;0;Высшее/Второе высшее/Ученая степень;вспомогательный персонал;>=100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;1001097;Поступление зарплаты на счет;Покупка недвижимости/ строительство;0;0.41;женский;1;0;высшее;специалист;>250;0;62;25;Другое;Государственное предприятие;холост / не замужем;1;0;0;0;0;0;0;0;0;0;0.5;1;1;26;2;0;0;12;25;0;0;0;0;0;0;0
17;1001117;Поступление зарплаты на счет;Ремонт;1;0.24;женский;0;0;незаконченное высшее;специалист;>250;0;91;28;Другое;ОАО;холост / не замужем;;;;;;;;;;;;;;;;;;;;;;;;;;
17;1001137;Поступление зарплаты на счет;Покупка земли;1;0.59;женский;2;0;Высшее/Второе высшее/Ученая степень;специалист;>250;0;82;36;Торговля;ЗАО;женат / замужем;1;0;0;0;0;0;0;0;0;0;0.5;2;2;97;4;1;1;39;53;0;0;0;0;0;0;0
17;1001157;Форма банка (без печати работодателя);Покупка бытовой техники;1;0.32;мужской;0;0;высшее;специалист;>250;0;6;26;Информационные технологии;ООО;холост / не замужем;2;1;1;0;0;0.0357142857;0;2;1;0;0.375;3;5;54;8;2;1;2;35;1;0;0;0;0;0;0
17;1001177;Форма банка (без печати работодателя);Ремонт;1;0.18;мужской;0;0;высшее;специалист;>250;0;17;25;Наука;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;1001197;Форма банка (без печати работодателя);Покупка недвижимости/ строительство;1;0.22;мужской;2;0;среднее;специалист;>=100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;1001217;Поступление зарплаты на счет;Ремонт;1;0.29;мужской;1;0;среднее;рабочий;>250;0;58;39;Государственная служба;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;1001237;2НДФЛ;Ремонт;0;0.24;женский;0;0;высшее;рабочий;>250;0;64;51;Транспорт;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;1001257;Поступление зарплаты на счет;Покупка недвижимости/ строительство;1;0.38;женский;1;0;Высшее/Второе высшее/Ученая степень;специалист;>250;0;47;37;Другое;ЗАО;женат / замужем;1;1;1;1;0;0.2735849057;0;0;0;0;0.2;1;4;77;5;1;2;24;36;1;1;1;1;0;0;0
17;1001277;2НДФЛ;Ремонт;1;0.49;мужской;2;0;среднее-специальное;рабочий;< 50;1;16;34;Транспорт;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;1001297;Форма банка (без печати работодателя);Покупка автомобиля;1;0.48;мужской;0;0;Высшее/Второе высшее/Ученая степень;специалист;>=100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;1001317;Форма банка (без печати работодателя);Ремонт;1;0.49;мужской;0;0;высшее;менеджер высшего звена;>=50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;1001337;Поступление зарплаты на счет;Покупка недвижимости/ строительство;0;0.41;мужской;0;0;высшее;рабочий;>100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;1001357;Поступление зарплаты на счет;Покупка бытовой техники;1;0.38;мужской;0;0;среднее-специальное;специалист;>=100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;1001377;Свободная форма с печатью работодателя;Ремонт;0;0.29;мужской;1;0;Высшее/Второе высшее/Ученая степень;торговый представитель;>250;0;14;38;Другое;ЗАО;женат / замужем;2;1;1;1;1;0.0195121951;0;0;0;0;0.1875;3;13;201;16;0;4;9;102;1;0;0;0;0;0;0
17;1001397;2НДФЛ;Ремонт;1;0.28;мужской;0;0;второе высшее;специалист;>250;1;70;27;Государственная служба;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;1001417;Поступление зарплаты на счет;Покупка автомобиля;0;0.31;женский;0;0;высшее;специалист;>=50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;1001437;2НДФЛ;Покупка недвижимости/ строительство;0;0.46;мужской;0;0;высшее;специалист;>100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;1001457;Форма банка (без печати работодателя);Покупка бытовой техники;1;0.48;мужской;1;0;высшее;менеджер среднего звена;>100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;1001477;Поступление зарплаты на счет;Ремонт;1;0.48;женский;1;0;среднее-специальное;менеджер среднего звена;>250;0;12;32;Торговля;ООО;разведен / разведена;0;0;0;0;0;0;0;0;0;0;0.6666666667;2;1;21;3;0;0;7;91;0;0;0;0;0;0;0
17;1001497;Поступление зарплаты на счет;Ремонт;0;0.2;женский;0;0;высшее;рабочий;>250;0;7;37;Информационные технологии;ООО;холост / не замужем;2;2;2;2;2;;;;;;;;;;;;;;;;;;;;;
17;1001517;Форма банка (без печати работодателя);Ремонт;1;0.28;мужской;1;0;высшее;специалист;>250;0;24;47;Торговля;ООО;женат / замужем;2;1;1;0;0;0.0410958904;1;0;0;0;0.6666666667;4;2;70;6;3;0;8;80;1;0;0;0;0;0;0
17;1001537;2НДФЛ;Покупка недвижимости/ строительство;1;0.36;мужской;0;0;высшее;рабочий;>250;0;34;33;Другое;ООО;гражданский брак;5;4;4;4;4;0.3454545455;0;0;0;0;0.5;2;2;36;4;0;0;23;66;1;1;1;1;0;0;0
17;1001557;Форма банка (без печати работодателя);Ремонт;1;0.57;женский;0;0;Высшее/Второе высшее/Ученая степень;специалист;>250;0;68;38;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;1001577;;Ремонт;0;;женский;0;0;высшее;другое;;1;83;49;Финансы;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;1001597;Поступление зарплаты на счет;Покупка бытовой техники;1;0.35;женский;0;0;среднее;менеджер среднего звена;>250;0;113;37;Торговля;ООО;холост / не замужем;0;0;0;0;0;0.1081081081;0;0;0;0;0.4;2;3;99;5;1;1;14;92;1;0;0;0;0;0;0
17;1001617;2НДФЛ;Другое;0;0.48;женский;0;0;высшее;специалист;< 50;3;40;28;Торговля;ООО;холост / не замужем;7;7;7;7;7;0;1;2;0;0;0.4;2;3;63;5;2;2;3;48;0;0;0;0;0;0;0
17;1001637;Форма банка (без печати работодателя);Ремонт;0;0.22;мужской;0;0;высшее;менеджер среднего звена;>250;0;47;25;Торговля;ООО;холост / не замужем;1;1;1;1;1;0;0;0;0;0;0.5;1;1;36;2;0;0;17;43;0;0;0;0;0;0;0
17;1001657;Поступление зарплаты на счет;Ремонт;1;0.32;женский;0;0;высшее;специалист;>250;0;103;26;Торговля;ООО;холост / не замужем;0;0;0;0;0;0.0508474576;0;0;0;0;0.6666666667;2;1;56;3;2;1;19;21;1;0;0;0;0;0;0
17;1001677;2НДФЛ;Покупка недвижимости/ строительство;1;0.59;женский;2;0;высшее;специалист;>250;0;18;50;Наука;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;1001697;2НДФЛ;Ремонт;0;0.32;мужской;1;0;Высшее/Второе высшее/Ученая степень;менеджер среднего звена;>250;0;41;35;Финансы;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;1001717;Свободная форма с печатью работодателя;Покупка недвижимости/ строительство;1;0.18;мужской;2;0;среднее;специалист;>250;0;79;29;Торговля;ООО;женат / замужем;3;2;2;2;2;0;1;0;0;0;0;0;3;23;3;0;0;54;55;0;0;0;0;0;0;0
17;1001737;2НДФЛ;Покупка недвижимости/ строительство;0;0.48;мужской;2;0;Высшее/Второе высшее/Ученая степень;специалист;>250;0;101;33;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;1001757;Поступление зарплаты на счет;Лечение;1;0.22;мужской;0;0;Высшее/Второе высшее/Ученая степень;специалист;< 50;0;9;26;Торговля;ООО;холост / не замужем;1;1;1;0;0;0;0;0;0;0;0.5;1;1;30;2;1;0;4;40;0;0;0;0;0;0;0
17;1001777;Поступление зарплаты на счет;Ремонт;1;0.46;мужской;0;0;среднее-специальное;специалист;>250;0;11;29;Финансы;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;1001797;Поступление зарплаты на счет;Покупка автомобиля;1;0.52;женский;0;0;незаконченное высшее;вспомогательный персонал;>250;0;44;27;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;1001817;Поступление зарплаты на счет;Покупка автомобиля;1;0.48;мужской;2;0;среднее-специальное;рабочий;>250;0;34;38;Другое;ООО;женат / замужем;2;1;1;1;1;0;0;0;0;0;0.3333333333;1;2;17;3;0;0;10;49;0;0;0;0;0;0;0
17;1001837;Поступление зарплаты на счет;Покупка бытовой техники;0;0.18;мужской;0;0;высшее;менеджер среднего звена;>250;0;40;52;Финансы;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;1001857;Форма банка (без печати работодателя);Обучение;0;0.49;женский;0;0;*n.a.*;специалист;>100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;1001877;2НДФЛ;Ремонт;1;0.59;мужской;0;0;Высшее/Второе высшее/Ученая степень;специалист;>250;0;15;31;Финансы;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;1001897;Форма банка (без печати работодателя);Ремонт;1;0.28;мужской;1;0;Высшее/Второе высшее/Ученая степень;вспомогательный персонал;>=100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;1001917;Свободная форма с печатью работодателя;Ремонт;1;0.31;мужской;0;0;высшее;рабочий;>100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;1001937;Форма банка (без печати работодателя);Ремонт;1;0.16;мужской;2;0;среднее-специальное;менеджер среднего звена;>=100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;1001957;2НДФЛ;Ремонт;0;0.44;женский;0;0;Высшее/Второе высшее/Ученая степень;специалист;>250;0;34;30;Финансы;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;1001977;Свободная форма с печатью работодателя;Покупка недвижимости/ строительство;1;0.18;мужской;0;0;высшее;менеджер среднего звена;< 50;0;99;52;Торговля;ООО;женат / замужем;2;2;1;1;1;0.1666666667;0;0;0;0;0.3333333333;1;2;15;3;0;0;11;106;1;0;0;0;0;0;0
17;1001997;2НДФЛ;Покупка автомобиля;1;0.49;мужской;0;0;высшее;менеджер среднего звена;>250;3;14;29;Строительство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;1002017;Поступление зарплаты на счет;Покупка автомобиля;0;0.22;мужской;1;0;высшее;торговый представитель;>250;1;57;30;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;1002037;Поступление зарплаты на счет;Отпуск;1;0.12;мужской;1;0;среднее;вспомогательный персонал;< 50;1;41;36;Другое;ООО;женат / замужем;0;0;0;0;0;0;0;0;0;0;0;0;3;42;3;0;3;15;34;0;0;0;0;0;0;0
17;1002057;Форма банка (без печати работодателя);Лечение;1;0.59;мужской;0;0;высшее;рабочий;>250;0;211;55;Наука;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;1002077;Форма банка (без печати работодателя);Ремонт;1;0.49;мужской;1;0;высшее;менеджер среднего звена;< 50;0;9;44;Другое;ООО;женат / замужем;3;3;1;1;0;0.075;1;0;0;0;0.5;2;2;74;4;0;0;6;91;1;0;0;0;1;0;0
17;1002097;2НДФЛ;Покупка автомобиля;1;0.45;женский;2;0;высшее;менеджер среднего звена;>250;1;6;42;Строительство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;1002117;Поступление зарплаты на счет;Покупка автомобиля;1;0.4;женский;1;0;высшее;специалист;>=150;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
